hora,geracao_solar_kw,demanda_kw,fonte,soc_bateria_pct,e_solar_kwh,e_bateria_kwh,e_rede_kwh,tarifa_rs_kwh,periodo
00:00,0.0,0.0,OCIOSO,26.7,0.0,0.0,0.0,0.6,fora de ponta
01:00,0.0,0.0,OCIOSO,26.7,0.0,0.0,0.0,0.6,fora de ponta
02:00,0.0,0.0,OCIOSO,26.7,0.0,0.0,0.0,0.6,fora de ponta
03:00,0.0,0.0,OCIOSO,26.7,0.0,0.0,0.0,0.6,fora de ponta
04:00,0.0,0.0,OCIOSO,26.7,0.0,0.0,0.0,0.6,fora de ponta
05:00,0.0,0.0,OCIOSO,26.7,0.0,0.0,0.0,0.6,fora de ponta
06:00,0.0,0.0,OCIOSO,26.7,0.0,0.0,0.0,0.6,fora de ponta
07:00,2.59,7.4,REDE,10.0,2.59,2.5,2.31,0.6,fora de ponta
08:00,5.0,7.4,REDE,10.0,5.0,0.0,2.4,0.6,fora de ponta
09:00,7.07,3.0,SOLAR,37.1,3.0,0.0,0.0,0.6,fora de ponta
10:00,8.66,0.0,OCIOSO,94.9,0.0,0.0,0.0,0.6,fora de ponta
11:00,9.66,0.0,OCIOSO,100.0,0.0,0.0,0.0,0.6,fora de ponta
12:00,10.0,0.0,OCIOSO,100.0,0.0,0.0,0.0,0.6,fora de ponta
13:00,5.31,0.0,OCIOSO,100.0,0.0,0.0,0.0,0.6,fora de ponta
14:00,4.33,0.0,OCIOSO,100.0,0.0,0.0,0.0,0.6,fora de ponta
15:00,7.07,0.0,OCIOSO,100.0,0.0,0.0,0.0,0.6,fora de ponta
16:00,5.0,0.0,OCIOSO,100.0,0.0,0.0,0.0,0.6,fora de ponta
17:00,2.59,0.0,OCIOSO,100.0,0.0,0.0,0.0,0.6,fora de ponta
18:00,0.0,7.4,BATERIA,50.7,0.0,7.4,0.0,1.2,PONTA
19:00,0.0,7.4,REDE,10.0,0.0,6.1,1.3,1.2,PONTA
20:00,0.0,7.4,REDE,10.0,0.0,0.0,7.4,1.2,PONTA
21:00,0.0,4.0,REDE,10.0,0.0,0.0,4.0,0.6,fora de ponta
22:00,0.0,2.0,REDE,10.0,0.0,0.0,2.0,0.6,fora de ponta
23:00,0.0,0.0,OCIOSO,10.0,0.0,0.0,0.0,0.6,fora de ponta
